,text
190527,This guy is a faggot Anti-Semitic he hates Semitic people like Hebrews and Arabs! He's a big racist and a faggot bad customer service! He gave me the worst customer service I got in my life! The hell with this guy I looking foreword the day he drop dead he's such an asshole in this community! He loves Adolf Hitler and the Nazi party the hell with this guy I don't want to see this guy in my face ever!
190940,"I loved this place when I was a kid, their noodles and soups were always my favorites.
I came back recently with my husband who has never been to the restaurant I raved about. Trying to recreate my delightful experiences i had growing up I ordered some noodle soup, my husband ordered a dish called 'salted fish'.
Our order came and the salted fish wasn't what he had expected, and to me the fish was the ocean equivalent of eating limburger cheese. This dish could have been 'salted fish' but my husband didnt want it. So he politely asked if it could be taken back, the waiter went to speak with the manager... well this somehow offended the manager, and he very angrily said he would not take it back, and since he was with an ""oriental' - im filipina by the way- he should have known what the salted fish would be.

so sad. i used to like this place until i knew the manager was a crotchety racist a$$hole."
191332,"I love this comedy club.  The people there are always friendly.  The price is definitely worth the money.

What I really love is that they don't put up with hate from the comedians.  They recently banned a woman hating comedian for a racist joke.  It's good there's a place that respects people where we can all come together and laugh."
196326,"Typical college bar. You get free bacon on Tuesdays. Weekends get really busy with college students. A lot of under agers are known to get in. A lot of racist people. Employees don't really care. Overall, a less than overage place to go to."
198738,"So I've been meaning to write an update to this. To be fair, My Florist is not my favorite spot in Phoenix - far from it actually. But it is really close to where I live and my best friend loves going there and drinking wine. But I wanted to share what I thought would be a downer but ended up being good. 

There was a waiter who made a racist comment to me and two of my friends. And we talked to him about it and he didn't seem to understand why his comment was inappropriate. My friend was extremely offended by this and went in the next day to talk to the manager. 

At first, the manager was somewhat like 'big deal' and this was obviously infuriating. So we assured them that we nor anyone we knew would return until it was resolved. But then my friend got a phone call and I guess they had a change of heart and put the waiter on leave/probation for his comments. So go My Florist for responding to ridiculously inappropriate behavior of staff!! 

(I do hope that the waiter gets it, learns from it, and gets his job back!!)"
198925,"I thought the food was yummy and the service was average. I will be going back for more! I also thought ""melissa g's"" comment below was incredibly racist and unhelpful. Shame on her."
200123,"Now I know that most folks who live here have either never heard of this combination or thought of it as some racist stereotype but Lo Lo's serves up the best fried chicken in AZ along with a side of waffles and a cup of syrup like you've never tasted before. The menu is a bit limited in scope featuring dozens of iterations of their featured foods Lo Lo's delivers multiple southern-style sides like grits, rice and gravy, fried okra, collard greens, red beans and rice, fries, mac & cheese, and eggs. Make no mistake, one could easily fill up on side dishes.

You'll find Lo Lo's (if you're lucky) in the SoJack (I'm inventing terms here for the area south of Jackson) off Central. It is a small house-looking structure with a gated door on it. Inside you will find cramped confines that will have the loud and lively wait staff running around you with dishes and cups no matter where you sit. Don't expect quiet, you won't find it. Don't expect privacy, you left that at home. Come and enjoy the people and the food. It is worth the trip and for the experience. We are lucky to have a place like this. The Southern Kitchen in Tacoma was one of the few authentic Southern food places that I have found outside of the south. To have Lo Lo's bringing some culture to AZ is much appreciated. You will not find this kind of food elsewhere in Phoenix."
200595,"As a former Atlanta resident and a forever lover of the South and all its delicious food, racist people and humid weather it has to offer- it was my absolute pleasure to bring my friend to his first ever Chicken & Waffle meal.

Although the Scottsdale location is closer to my house, I insisted on my 25min drive to downtown Phoenix to eat at this Lolos because I refused to eat C&W at a place surrounded by floppy hats, leftover nightclub makeup and eating disorders. I wanted Southern-ghetto-fabulous and damnit,  I got it. And even though we showed up at 1 for brunch, we were still faced with a line literally out the door and almost around the block... yet we still put our name down and waited. The place is quite big so even with a large wait list our wait was still only 20mins- not too terrible. As we waited outside and got closer to the entrance, we kept admiring the people that came out with their to-go box, holding their stomachs and making jokes about being so full that they'll roll down the hill. ""Thats what I want to be like!"" I cried, super giddy with excitement. 

We got seated soon enough and we already knew what we wanted (obviously we spent our time outside planning out our meal). Between the two of us we ordered: Chicken and waffles (duh), Fried & smothered pork chops with mac and cheese, green beans and corn bread, fried green tomato appetizer and a giant mason jar of purple kool aid.

As our feast arrived, I could feel my heart beating faster and my arteries clogging up. This was going to be a challenge worth fighting for. We started with the C&W and each put a half-waffle and half-chicken on our plate. My friend starts eating the chicken and I immediately go in a panic. ""What are you doing! No! That's not how you eat it!"". After giving him a long and passionate sermon, I bring a random server to our table to reinforce my lecture about the correct way of eating C+W. The server agrees:

************You grab your waffle. Add a layer of honey/syrup on top of every square of your waffle. You place your chicken ON TOP (either cut-up or whole). You cover the chicken with hot sauce. You grab your knife and fork (OR fold the waffle like a taco) and YOU EAT A BITE OF EVERYTHING AT ONCE************ 

As he took his first bite I swear I saw unicorns and rainbows come out of his eyes. He finally got it. The sweet, salty, spicy, crunchy, soft, fried goodness that is a well-executed C+W. Its sweaty redneck sex on a plate. Its fucking good.

After that, you could've given us a flaccid french fry and we would have still called it a successful meal. The cornbread was amazing, the mac and cheese was tasty and the pork chop was the size of an overweight chihuahua. The only thing not worth ordering was the damn fried green tomatoes: only 4 slices for $7, completely covered in salt, with a side of salt and some extra salt to go with it. Half-way through the meal we found ourselves surrounded by 3 servers and the chef, all gathered to answer the ""what are gizzards made of?"" question- all because they were afraid that we would be grossed out by the definition. We were all cracking jokes and enjoying their company.

As we were down to 1 fried green tomato and half a porkchop left, we started breathing heavily. ""I don't think I can eat any more"" said one person. ""WE MUST FINISH THIS"" said, well, me. Using every bone in my body to be able to eat the last couple bites, we took the nasty green tomatoes in a box and called the whole thing a victory. As soon as we sat in my car and turned the car on I grabbed my stomach and said ""I'm sorry, I need to do this""- *takes off belt. ""OOOHHHH GOD. MUCHH BETTER"". I regret nothing."
200709,"Ok.. So I had to call one of my African American friends and ask him ""What the HELL is so goddam special about Lo-Los?!!"" To which he Literally laughed out loud and said ""NOTHING!!""

I knew he would have been and have some type of input. He had, and he did. No! I am not racist or stereotyping anyone! I know he loves Fried chicken and would give me an honest opinion.  He and I both unanimously decided that this place SUCKS. He told me ""you should have called me from the parking lot, I would have saved you a bunch of time and aggravation."" 

This is definitely one of those cases in which you should NEVER believe the hype.  

Over priced. $3 for KOOL AID! (Anybody that orders Kool aid for $3... I have some real estate I want to discuss with you) $16 for dry flavorless chicken and cinnamon waffles. Gimme a break. I can get an entire family meal of chicken at KFC for less than that! And the KFC actually is juicy and has flavor!

The fried chicken is flavorless. Seriously. Its like flour and a dash of salt. Thats it. NO seasonings at all. They talk about passing down recipes for generations and generation...? WHaaaaaa?  I wonder if while the recipe was being passed down, they deleted the spices to save money on the overpriced food they are selling to us bamboozled people out there... It honestly tastes like fried chicken from a Lubys cafeteria thats specifically cooked to cater to the older folks on restricted diets. 

The waffles were yummy. I will give em that. Cornbread was dry. 

It took over 30 minutes to get a burger. The rest of the meal came out in parts. They forgot some of it altogether till we asked for it. 

This place sucks. Seriously. Its much to do about NOTHING. 

I recommend a name change. Lo-Lo's Hi-Hi. Low low quality and high high prices."
203286,"Amazing! Believe the hype. Everything was delicious. Not to sound racist but we knew were good when we saw Vietnamese folks eating here. We are not Vietnamese food experts but the pho and spring rolls  were some of the best we have ever had.  
The Pièce de résistance: macaroons and ice cream alone is worth the trip.  Thai tea ice cream is now my favorite flavor. I almost ate the plates. Like everyone else, I highly recommended 43rd Express."
204265,"If you enjoy being scammed by employees who do not honor coupons or prices that they posted on big huge signs, this is the place for you! 

Came here with a coupon for 50% off clearance computers applicable in store only that I printed off of Staples.com on the day it was valid. I found a computer marked CLEARANCE, great, this should be pretty straight forward? 

Not unless you are dealing with JOEY the lady who I guess was the manager on duty at the time! According to her, clearance means she jacks up the price back to full retail and then applies my coupon! I had no idea retail price and clearance prices meant the same thing, this must be a new thing staples is trying out, clearance things for retail price! This probably explains why they are doing so awesomely as a company! 

Or better yet, it may explain why their stores are closing and they are doing horribly because their managers are apparently not competent enough to handle scanning a coupon during a sale that is initiated by their own corporate office!  

Here is a great idea Staples... hire some managers who know how to manage! Not people who try and BS their way out of selling you something in the store because it is just too good of a deal. I mean it would really benefit a company that wants to stay open and sell their stuff to have customers and not alienate the people who come in trying to buy stuff! I am not a retail expert by any means, but a little bit of common sense tells me stores who are shitty to their customers tend to loose their customers, unless you're Apple, which you're not, just FYI.  Maybe JOEY wanted to keep that computer for herself? That seems like what really happened, she did not want to sell it to me because she figured she could keep it and sell it herself later when her paycheck comes in? 

I mean the only other thing I can think of is that maybe it is because I was middle eastern! Maybe they were being racist and do not sell to my type there? Hmm, I digress. 

TL;DR Just skip this place and let it close down as it should have a long time ago. You can pretty much get anything on Amazon you would find here on a day to day basis and you do not have to deal with incompetent ""managers"" who try to bully you instead of honoring their own prices."
206703,Horrible doctors office they make you wait forever staff rude my doctor's semi-nice I wasn't able to see her on one appointment they assigned me to a different doctor for that one appointment and this guy was a jerk did everything including call me a drug seeker and accuse me of sallying my prescription drugs on on the street just because I am Hispanic I suffer from depression panic attacks and anxiety attacks and he accused me of selling my anxiety medicine on the street telling me they have to street value that is the reason why I ask for so much of my medication I need my medicine to help me with my anxiety and panic attacks & then says he won't give me any more. Prescriptions than has the nerve to ask me why do I look so down so I tell him I suffer from depression that's why & my grandmother died that morning what kind of place is this ! Does anyone know if I can I sue them for those types of accusations isn't that like a racist thing or something .
206704,Horrible doctors office they make you wait forever staff rude my doctor's semi-nice I wasn't able to see her on one appointment they assigned me to a different doctor for that one appointment and this guy was a jerk did everything including call me a drug seeker and accuse me of sallying my prescription drugs on on the street just because I am Hispanic I suffer from depression panic attacks and anxiety attacks and he accused me of selling my anxiety medicine on the street telling me they have to street value that is the reason why I ask for so much of my medication I need my medicine to help me with my anxiety and panic attacks & then says he won't give me any more. Prescriptions than has the nerve to ask me why do I look so down so I tell him I suffer from depression that's why & my grandmother died that morning what kind of place is this ! Does anyone know if I can I sue them for those types of accusations isn't that like a racist thing or something .
207584,"They got what I need and it costs a lot less than that old racist southern gnetleman's secret sauce recipe that's probably full of sawdust anyways.

Although, this is the most ghetto Church's Chicken in town."
209993,"When I was here, I got heat stroke. There was a party in the back room, and everyone was crowding the bathrooms and I was sick. It sucked. 

While out in the restaurant, I had ordered a carne asada quesadilla. It sat and waited for me, as did the rest of the group. We came here to watch the last Lakers vs. Suns game. And yes, I did get to see the Suns lose in their home town. That was cool. (Los Suns jerseys or not, they aren't doing much to help end the hate there). 

The quesadilla tasted like a cheeseburger when I finally did get around to eating and stomaching it. I wasn't a fan of that. 

....@#$! AZ and their racist laws."
210792,"I told my self I would stop going to this place when racist comments where made to one of my coworkers but decided to give it another try, they sat us down and for 10 minutes no one asked what we would like to drink or anything. Ended up walking out. Never returning to this place."
215654,"this place is the most racist establishment in phoenix. they are rude, they follow you round. the manager even engaged in a yelling match with us. i will never ever spend my hard earned money i n this store ever again."
215900,"Alright well first of all. As we speak i am on the shitter with massive boiling diarrhea. Pollo loco got my ass burnin!! I suggest you dont go anywhere near this place unless you want rectal cancer. The chicken taste like they wiped it across the bathroom floors and the customer service, dont get me started on the customer service. Not be racist but are they trying to hire any whites any time soon? I have to read a fucken Spanish dictionary before i walk in this fucken place. Overall i'd eat there again. It was alright.."
220988,"Went there today looking for some new Wet n Wild eyeshadow quads which they didn't have in yet.  Thought, hey I wonder if they have any NYX products.  So, I asked the employee who'd been following me and watching me like a hawk since I got into the cosmetics department -middle aged caucasian brunette - and she narrowed her eyes at me and said ""no, that's dollar store stuff!"" then smirked.  WTF..can the attitude lady.  They sell it at Ulta and Target..although not high-end, it's not dollar store.  Incidentally that was a yes or no question.  What a great way to start my birthday..with an embittered racist minimum wage employee.  Won't be shopping here in the future; though I live nearby."
230053,"Came here with a friend on a tuesday when they do 'Gold Fish Racing'. The lady who MC's the whole thing was extremely vulgar and offensive. If you enjoy seeing people made fun with racist and sexist comments and jokes, you might enjoy this place, until you become the target of the remarks."
233243,"I want to give places the benefit of the doubt. Especially ones that have positive reviews, have been recommended by locals and have been around awhile even with heavy competition close by and a fairly pricey menu. So when our first round of drinks took 15 minutes to arrive, and our old fashioned was made incorrectly (a place like this with an expansive bar should know how to make an old fashioned, yes?), I reminded myself that the food was supposed to be awesome. We were on vacation, with good friends and were prepared to have a great evening so I really was not looking to spoil it for myself. 

And then our waiter opened his mouth. I asked for some explanation of menu items, many of which had either no explanation or description or was a puzzling mess of adjectives and much-too-hip-and-cool titles.  When asked for some help to decipher parts of the menu that - while it appeared to be in English - might as well have been written in a foreign language, our waiter started in with a host of racist remarks - like maybe he could find his Vietnamese friend to interpret for me, or go get me some dim sum instead. When I didn't laugh, he asked what I wanted an explanation of but I was so over it. He returned to the table after a few minutes, likely feeling slightly remorseful about his inappropriate comments (or more likely trying to resurrect his shrinking tip potential) and started rattling off at 100mph a verbal dissertation of a few menu items. No one at our table could understand much of what he said. I guess he was having a bad night and unfortunately it did rub off some on us. One bright star was the manager who came by to drop off a list of breakfast and lunch places he wanted to recommend after having had a conversation about this with our friends before our arrival. We did not mention our waiter - no one wanted to have a negative conversation and further spoil what was supposed to be a fun evening.  

As for the food, well, it's hard to be fair given the bitter palate created by the waiter. I had the mini mushroom pan fry (serious potential, but slightly greasy and sadly under salted) and a salad (which was ""fine""). My husband had the swordfish (butter sauce was yummy), our friends the bison meatloaf and the filet mignon. Both were pretty good. Desserts earned higher praise, allowing me to move Cowboy Ciao up to 2 stars - bread pudding, ice cream trio and the birthday cake were all delicious and a satisfying end to an otherwise disappointing experience. 

I would not recommend Cowboy Ciao to anyone visiting the Scottsdale - there are too many fabulous restaurants in this area to waste time with poorly trained staff."
246541,"I came here on a Tuesday. I love to go bargain hunting on my days off so naturally I stopped here. I walked in and it looks clean. There is a bit of clutter, but I blame it on the location size. It's so small and I feel bad that all the associates have to cram all of the stuff in this small location. It was a particularly busy time of day, however this sweet lady named Rosana told me to wait a few minutes while she helped out other people (I'm a pretty patient person). So I took the time to browse. 15 minutes passed and I still didn't get helped, and I could understand, there is a super long line of people and only 2 people working the counter. The only reason I'm not mad, is because I know how stores work and if anything I blame corporate. Anyway, I was helped by Bridget and Rosana and Luisa at some point and love them all. I really dislike racist people that do these reviews because I think all of these people are sweet and kind and have helped me with awesome buys!! I always buy my Electronics from here!! Anyway this is my review from what I have seen the past few months! Awesome place."
248729,"How does this place have anything more than a 1 star rating? Let's start off with why you SHOULD NOT eat here.

1.) The food is garbage. Probably a literal statement, too. I've eaten here twice, just because I believe in second chances and MAYBE my first time was a one off thing. NOPE. I ordered their Phoenix & Dragon dish the first time, which had zero flavor. I mean, at all. You could boil a piece of college ruled paper and get a better experience for your taste buds. The second time I decided to order what I thought was orange chicken. Let me tell you, if that is what orange chicken is, then I've been lied to for years. What I ate was a fried ball of batter with a piece of chicken no bigger than that you would find in a can of chicken noodle soup inside, drenched in some sort of sauce that is horrid enough to make you throw up upon receiving the dish. I'm fairly certain their food is just microwavable dinners you pick up at Fry's. Why? Because I've seen the ""manager"" carry about 8 bags full of them into the restaurant. How can you even call this food?

2.) The staff/service is worse than what I imagine you would get in prison. Every person there is rude, save for one little Asian lady. I like her. My main concern is the bald guy who calls himself the manager or owner or what have you. I don't think I've been in his establishment, no, the parking lot of Fry's without wanting to smack him. This guy is reason enough not to go, but I'll get more into that in a bit. Bartender? What a joke. Sure, $1.50 Bud Lights is awesome, but I'd rather buy a 6 pack and catch a buzz watching paint dry than have to sit there and listen to that guy talk. Holy ignorance. I'm 95% sure he's nothing more than a racist bigot/lookout (more into the lookout part coming up). Seriously, he's just a prick.

3.) This is my final reason. If you still are considering this place so far, you're about to think a third time. I'd be willing to bet my life savings that this place is a front for drug laundering. Seriously. Back to baldy. He's had the cops called on him MULTIPLE TIMES for dealing in front of the place with the local druggies and even some cab drivers. I've actually witnessed that. I've also witnessed him around 9:30-10pm, running around the Fry's parking lot just absolutely drugged out of his mind. He sings, screams at people, talks to himself, etc. Basically anything you'd expect a druggie to do. Don't believe me? Fine, go in there at night and tell me he's not on something. The cops have been there multiple times, including for him harassing employees of the neighboring establishments while he's under the influence. He definitely missed the D.A.R.E. seminar in gradeschool.

So, those are my reasons that you should avoid this place. Unless you're into drugs and harassment or posting hilarious Instagram/Vine/Facebook videos of people out of their minds, then go crazy."
250725,"My family uses Tempe St. Luke's because it is very close to home but we will drive to Phoenix St. Luke's if we have to after how we were treated! My wife was having chest pains so we went to have her get checked out. We had our 7 & 5 year olds with us and we filled out paperwork and waited for a while (about 20 mins or so) before she went in to see the nurse taking vitals. I was sitting in the waiting room with one of our daughters that was a sleep so I was slower getting up to go with my wife. When i knocked on the door to go back there was no answer so I spoke to a admitting person to see if she could let me back with my wife and she said no because I had my daughter. I told her I have had her back there before when we have been there in the past but she still said no. I said ok and sat back down when my wife came out with our other daughter for me to watch and she went back and after a while had passed she didn't come back out like what we have experienced in the past.

I knew because my wife was there because of chest pains that she would be admitted and then transfered by ambulance to Phoenix St. Luke's so I was ready for that. My wife then asked the nurse if we could come back to her bed to say goodbye and for us to workout details while she was in the hospital and the head nurse (the one who took the vitals) said that we couldn't be brought back because we had 18 people waiting with us and that was too many! We didn't have 18 people with us, we had myself and 2 little girls. Now there was a lot of people in the waiting area and many were latin (Mexican) and she made it sound very racist against people with families in the ER.

My wife spoke to her (head nurse) and told her we are a family of 4 and that's it and to say what she said was offensive on all levels and if that's the way we were going to be treated then we can go to another hospital! There was no apology from anyone on staff and if this is how the medical staff at Tempe St. Luke's is treating people we will not be back for any medical services at all.

So don't go there unless you like being insulted during a medical emergency or you have someone in need of care because surely won't get any care or compassion here and that's no lie!!!"
250865,"Sooooo, there's a lot on my mind.  The economy is in terrible condition.  We're being labeled as racists, we're still mired in multiple wars, I really want the Heat to suck this year but am afraid they won't, I think I'm gaining weight, losing my hair, and I am certain that my right foot is bigger than my left.

But you know the worst thing about my life right now?

No meat.  If only I was talking about the musical group, but alas.  My father passed away last week so to respect Buddhist beliefs, no meat for 49 days.  So what is a bacon guzzling, sausage stuffing ( shame on you for having a dirty mind!), carnivorous soul going to do?

Eat at Lalibela Cafe of course!  

Walking in, I was a little wary of the $50 authentic Ethiopian attire in a basket as you walk in.  Better not be a tourist trap, I am thinking.  Continuing to look around, it felt a little cluttered but not too much so, with some interesting art and more clothing on the walls to peruse.  I was running a little behind on time as I had originally intended to go to Byblos which was closed for renovations until August 20th, so I cut short my examination of the decor to order.  

I ordered the Vegetarian Sampler (7.99), which is your choice of 3 out of 5 dishes to go along with the injera or rice.  I also had the Yekemem Shai (2.50) black tea with cinnamon, cardamom & cloves cold, which was a refreshing drink. 

The Masir Wat, red split lentils simmered in hot sauce and herbs, was delicious and made me not miss meat so much, with a texture reminiscent of ground beef and a spicy flavor that was subtle but satisfying.  Tikil gomen, lightly spiced cabbage, carrots and potatoes was also a winner, with an almost buttery finish.  Gomen, chopped collard greens cooked with garlic and onions was the only component that was merely okay, with the flavors being a little too mild for my taste, but by no means bad.  The injera itself was a quiet partner in the backdrop of all these flavors, slightly sour and spongy.

While no one checked in on my meal, no one had to, as I was quite pleased and didn't need a refill.  The initial service was fast and efficient as well, even with only 2 on the waitstaff and about 15 people coming in right around when I did.

So you know what?  Our economy is going to recover.  I might be a little racist but who isn't?   Wars are just disagreements taken too far, Lebron will remain crownless, I'm just big-boned, there's always Rogaine or a toupee, and I can always get custom shoes where the right is bigger than the left, and I have Lalibela Cafe to thank for putting me in this frame of mind.

Thanks for a great lunch, and I'll be back often, meat or no meat!"
253316,"Horrible horrible, customer service. Never coming back again. Food was ok nothing special. Got cut off after 3 drinks, which was terrible. I truly believe waitress was racist for us being brown. Stay away from this place if you value self respect. Waitress name is Jordan. Stay away from this place."
253657,"You have got to be fucking kidding me. 
There was no one in the restaurant. the place was a graveyard, yet no one thought it was important to wipe the tables or even sweep the floor. Crumbs and sticky stains everywhere. i ordered take-out before I got a good look at the place. While I waited for my order I looked around for a place to sit - no clean chairs. All had crumbs on them. Tables had folded-up pieces of cardboard shoved underneath the legs, balancing them out. One table had THREE cardboard balancers. All the chairs have chipped paint. There are stacks of sodas with a stained apron tossed onto the top of them - better wipe those bitches down good before you slurp, people!! The license on the wall reads 2008. HOLY GOD THIS IS 2010!
There is a BED that's not even hidden from view. Toothbrush and toothpaste and a shoerack! Damn, put that in the BACK ROOM not the FRONT if you so desperately need to do it. And give me a break - how busy can this place possibly get, that you need to sleep there overnight??? I shudder to think what the back kitchen looks like if they can't even pretend to make the dining area presentable. 
Even my dog wouldnt eat there... but since he's missing a leg, he might need to steer clear of this place before they try to stew him up. BTW I AM ASIAN so keep the racist accusations to yourselves, white weirdos. 
Okay, all joking aside: the place is GODDAMN DIRTY. PERIOD."
256263,"Unfortunately there isn't a lower rating for this joke of a bar. 

Al the owner is an unbelievable douche bag, surly with customers and slow with service. Not only did he drop racist comments about Asians, he would describe his violations and covering them up for the inspectors (who was a female Asian). 

Answering questions like ""how have you been al"" answered with a snide comment and a rude attitude. It's clear he gives zero fucks about the bar itself, his staff and even his customers. I will not be going back and urge you to support another local establishment."
258287,"This is an extremely racist office. Almost everyone working here has a name like Hernandez, Rameriez, Martinez. I asked a worker why, he  stated the managers name is Garcia and he perfers it that way. There were a couple black people working there, no white people. Talk about reverse racisism. By the way, they have moved their office to Sunset Road. Very nice office."
258844,"Worst casino management in Henderson, Nevada. I use to praise them on their restaurant but now they seem to be racist company. They allowed a waitress to work there and last night this waitress accused me and a friend who is a business owner of motel down the street of trying to get over with a slice a pie which he purchased a pie and we split it. That was racial profiling which in Henderson that happens very often. Other than that their restaurant is not a good place to eat if you have a strict diet of no pork. That contributes to high blood pressure. I personally don't eat red meat or beef anymore. The cheap breakfast doesn't provide an alternative like Denny's does."
260049,"Ahhh the Lotus. An old-Henderson must! The service is fast and friendly. They have good specials and decent food. Don't go here if you are looking for a 5 star place. Go here if you want a great casual dinning experience with greasy American-Chinese food and a sweet little Chinese waitress who will say, ""Ah yes, ok, ok, dank you."" It's not racist - I adore her!"
266610,"Stayed there last night, have to say, ive been to many places, and the pool is awesome. The beds were comfortable, the rooms just redone, however a little pricy at 150$ after taxes for a room with two small beds. First off, the pool closes at 10pm, and thats just wrong for a city that never sleeps. The women there were mediocre. The food was also mediocre at a high price. The drinks? Well, let me tell you my story. So i left my room about 11pm, with 40$, went down to the bar near the exit by fremont street, at the lowest level of the casino. This is where i had the worst service in my life. I sat down, and waited 15 minutes waving and yelling trying to flag down one of the bartenders, who kept making eye contact, but passing by, finally, he asked what I wanted, I told him makers mark on the rocks and asked him how much, to which he replied he could not comp the drink, and then walked away without taking my order for another 15 minutes. with a super annoying attitude like he was racist against me or my father inlaw who is hispanic. I didnt ask for it to be comped, i was going to pay straight up with a 20$ bill and leave him a tip, however i decided to hell with him, and put the money in the machine so I could ""Get comped"". So i asked the gentlemen sitting next to me if service is always this bad, and he was from london, and said he had just arrived, i complained that the bartender with the mustache was being rude, so he then flagged down the man and told him to get me a drink, i wa astonished that he payed attention, but the british man was gray haired and in his 60s, he me got service immediately. Then the bar tender pointed to the plaq on the machine which read, to get comped drinks you must put a $20 in, and be playing $1.00 per round, which i was doing, and i told the bartender i put 20 in and are currently playing a dollar hand, he then rolled his eyes and made my drink, which i downed immediately because he pissed me off, huge mistake, worst customer service, he didnt come take an order for another 20 minutes, i was getting really angry, he pushed a large black trash can right infront of me, and was throwing beer bottles from across the room breaking glas right infrontofme and my father inlaw. Finally he came by and gave me another drink, i still had 5$ in the machine after i had finished the drink, i kept flagging him down but he kept walking by, so if he wouldntserve me i refused to play until he took my order, when he walked up and said and pointed at the plaq again, and told me i have to put 20 in and be betting a dollar, repeating what he said eairler, and he wentback to breaking glass infront of our face from acrosstheroom. I was very irritated so i kept playing and flagging him down, i had $1.25 left, and i got him to talkto me. Finally after beingthere for an hour he said he wouldnt serve me because i only had $1.00 currently in play and .25 cents left. The plaq didnt say that, thats not the rules, so i finished my bet and left, i almost waited aroundfor him to get off work. It was a complete waste of time and money. Exceptthe pool. Which was still a waste of time causeitcloses. At 10pm. I hope management reads this and does something because no one should be throwing bottleslike that. He was about 55-65 years old, white balding head, white moustache, old white man about 5feet 7 inches tall. The bar at the rear entrance near the tables. For thisyou. Get 1 star"
270588,"Well this place was a surprise!  Driving around doing store checks all day, we bumped into this place right around lunch time.  I am highly knowledgeable in the cheesesteak genre and highly critical of places that don't get it right.

Pride of Philly (POPs) gets it right.  This has to be the best cheesesteak in Las Vegas (I may be wrong but I don't think so).  The bread, key ingredient in the cheesesteak genre, was excellent.  Had a side of greasy, hot and crispy fries. 

Don't like cheesesteak, they have pastrami, grinders, and fried string beans.

Best thing about it was Steve, the cook, nice guy and not a racist like that Geno character in South Philadelphia."
273701,"I was approached by a bartender of Calico's, Keith, who informed me that he was not racist and that he didn't appreciate that I wrote on Yelp a comment saying that the bartenders of Calico's are. He told me to go back on Yelp and write that he is NOT racist. I didn't recall writing it at the time he mentioned it but now that I have a chance to look at it, not under the influence of alcohol, (talk about a buzz kill) I am proud to say that YES I did write it. 

I never said that the bartenders are racist. As a matter of fact, if you read it, it says the opposite. Anne is probably the best bartender there. There are others that are good also but I really cannot remember their names. I tried to make my comment general but I see that is not going to work so I will just name names. Chad is the bartender that gives customers a hard time and he is the bartender that walked away from my brothers and me at the bar. Keith was the bartender that finally took our drink order.

Yes, I have always had issues at Calico Jack's and I still went there anyway because of my friends.

This is crazy... I hope this makes you happy Keith. Again shame on me for going back there...the things I do for other people."
276200,"Certain items are good, breakfast for the most part. I've tried to go several times because there close to the house and wanted a regular spot. Whenever I called to order I was treated as though I was a bother and felt very rushed. Each time I went in I was treated with a lot of attitude, and for all the wrong reasons! Word on the street is that there a bit on the racist side........ Don't let the one black bartender fool you, I felt like I was in 1890"
277131,"There were a lot of problems with this place. After repeating my order three times because my waiter just couldn't get it right, my order still came out wrong. I notice the waiter struggle with taking my order so I repeated my order in Spanish (not bc I'm racist - for that person that felt the need to attack me on that) but because I had no problem being patient and making sure he got my order right. And he managed to mess up the table next to us (maybe he was new?) We went at a time that wasn't busy but felt he was all over the place but couldn't really manage to get anything right. 

How does a Mexican restaurant get Tacos so wrong? This place manages to do just that. The food itself was horrible. We came here as it was highly recommended to be the best Mex Restaurant in Vegas but were highly disappointed w the food itself. 

And to top it off we had to wait a very long time to get our check. Only reason we left a tip was for the bus boys who manages to keep up with our refills. Our waiter just took our orders, managed to screw our orders and we had to track him down for our check. (Not exaggerating - my husband had to track him down bc he neglected to come by our table to check on us) If you are looking for a decent Mex Restaurant than try to avoid this place. It sucks!





As some are offended for my review then just ignore it and go because you enjoy this place so much. I write my review based on MY experience and don't appreciate haters hating bc they don't agree. YELP is meant to voice your opinion on businesses as everyone has different experiences. 

Fortunately, I've had great Mexican food and I don't believe this was one of them. Forget about the bad service we received but the food was just not good."
280567,"They need to hire better dealers. There are very rude and cranky people working as dealers in there and if you're going to take a chance at loosing your money at least do it happily. I don't know how they allow such rudeness towards players. I always treat people kindly and only came out to try my luck and have a good time. I left feeling crappy not cause I lost but more because I was treated poorly and yelled at by a dealer making snide comments for no real reason. Maybe he was racist against asians or just hates women, I don't know, but he doesn't deserve that job."
282384,"Nevada energy crawled across my fence to install a new meter on Saturday knowing that I would not be home Nevada energy meter man saw a mezuzah at my front door and Their meter person crawled over my fence like a slimy sleaze bag wrote on my back door where he install the new meter without my permission and illegally Crawled and left his footprints over my fence wrote the KKK with a crucifix this happen Saturday the 14th it is  1245 and I will never forget what they wrote on my door.
If you're Hispanic if you're black if you're Jewish if you're Catholic if you're Christian watch out for Nevada energy The most racist company in the world."
283615,"Stopped in here on the Burgh, Bits, and Bites tour.  We met the owner Robert Wholey, who told a really unsavory racist joke.  I was not happy.  Being a born and bred Pittsburgh native I was embarrassed people like him still exist.  Needless to say I won't ever be going back.  I noticed several other people on yelp have already commented on this, so obviously this wasn't the first time, nor the last."
